total,ds,scene,siteset,media,ocpa_type
4,201901250000,4,28,0,204
1,201901250000,12,28,0,108
2,201901250005,14,28,0,104
3,201901250005,4,28,0,405
2,201901250005,8,28,0,405
2,201901250005,12,28,0,104
1,201901250010,4,28,0,402
3,201901250010,1,28,0,108
10,201901250010,2,28,0,0
5,201901250015,8,28,0,0
1,201901250015,2,28,0,402
9,201901250015,4,28,0,0
5,201901250020,8,28,0,0
1,201901250025,12,28,0,204
1,201901250025,1,28,4,204
3,201901250025,2,28,0,105
1,201901250025,1,28,0,402
2,201901250025,4,28,0,108
1,201901250025,8,28,0,108
2,201901250030,1,28,0,315
3,201901250035,13,28,0,0
4,201901250035,1,28,0,302
2,201901250040,12,28,0,104
2,201901250040,8,28,0,405
1,201901250040,2,28,0,315
2,201901250040,14,28,0,104
4,201901250045,2,28,0,204
1,201901250045,12,28,0,105
3,201901250050,12,28,0,0
2,201901250050,1,28,4,0
2,201901250055,1,28,0,403
2,201901250100,13,28,0,104
1,201901250100,8,28,0,108
2,201901250100,14,28,0,204
2,201901250100,16,28,0,105
2,201901250100,1,28,0,402
4,201901250105,16,28,0,0
1,201901250105,4,28,0,402
2,201901250105,1,28,0,108
9,201901250110,4,28,0,0
1,201901250110,2,28,0,402
4,201901250110,1,28,0,105
2,201901250115,8,28,0,105
1,201901250115,14,28,4,0
1,201901250115,16,28,0,108
2,201901250115,10,28,0,104
4,201901250115,4,28,0,105
3,201901250115,28,28,0,0
4,201901250120,1,28,0,105
9,201901250120,4,28,0,0
1,201901250120,2,28,0,402
5,201901250120,8,28,0,0
2,201901250125,14,28,0,104
2,201901250125,13,28,0,204
4,201901250125,4,28,0,405
2,201901250130,13,28,0,204
4,201901250130,4,28,0,405
2,201901250130,14,28,0,104
4,201901250135,14,28,0,0
2,201901250140,14,28,0,104
2,201901250140,13,28,0,204
4,201901250140,4,28,0,405
1,201901250145,2,28,0,315
2,201901250145,8,28,0,405
2,201901250145,12,28,0,104
4,201901250145,4,28,0,405
17,201901250150,1,28,0,0
1,201901250150,2,28,0,108
1,201901250150,12,28,4,0
3,201901250150,4,28,0,105
2,201901250150,10,28,0,104
3,201901250150,28,28,0,0
1,201901250150,16,28,0,108
2,201901250200,14,28,0,405
1,201901250200,4,28,0,403
1,201901250200,10,28,0,105
4,201901250200,4,28,0,104
1,201901250200,1,28,4,405
2,201901250200,2,28,0,302
5,201901250205,8,28,0,0
1,201901250215,4,28,0,403
2,201901250215,14,28,0,405
1,201901250215,10,28,0,105
4,201901250215,4,28,0,104
2,201901250215,8,28,0,104
9,201901250220,4,28,0,0
4,201901250220,1,28,0,105
1,201901250225,4,28,0,108
1,201901250225,1,28,0,402
2,201901250225,12,28,0,204
3,201901250225,2,28,0,105
4,201901250235,2,28,0,405
1,201901250235,8,28,0,315
2,201901250240,10,28,0,204
1,201901250240,4,28,0,315
1,201901250240,14,28,0,302
4,201901250245,10,28,0,0
2,201901250245,28,28,0,104
1,201901250245,1,28,0,403
4,201901250245,1,28,0,104
1,201901250250,12,28,4,0
15,201901250250,1,28,0,0
1,201901250250,2,28,0,108
3,201901250250,4,28,0,105
2,201901250250,10,28,0,104
2,201901250250,28,28,0,0
1,201901250250,8,28,0,105
1,201901250255,14,28,0,108
2,201901250255,8,28,0,204
2,201901250300,14,28,0,108
2,201901250300,8,28,0,204
1,201901250305,12,28,0,204
1,201901250305,1,28,4,204
3,201901250305,2,28,0,105
1,201901250305,1,28,0,402
1,201901250305,4,28,0,108
1,201901250305,8,28,0,108
3,201901250310,1,28,0,108
10,201901250310,2,28,0,0
3,201901250315,1,28,0,315
4,201901250320,4,28,0,204
1,201901250320,12,28,0,108
2,201901250325,14,28,0,405
1,201901250325,10,28,0,105
4,201901250325,4,28,0,104
2,201901250325,8,28,0,104
4,201901250330,2,28,0,104
1,201901250335,4,28,0,108
1,201901250335,1,28,4,204
3,201901250335,2,28,0,105
1,201901250335,12,28,0,204
2,201901250335,13,28,0,104
2,201901250340,10,28,0,405
2,201901250340,14,28,0,105
2,201901250340,16,28,0,204
1,201901250345,8,28,0,105
1,201901250345,14,28,4,0
1,201901250345,16,28,0,108
2,201901250345,10,28,0,104
2,201901250345,4,28,0,105
4,201901250355,1,28,0,405
2,201901250400,8,28,0,204
2,201901250400,14,28,0,108
4,201901250400,4,28,0,204
1,201901250415,1,28,0,402
1,201901250415,4,28,0,108
1,201901250415,1,28,4,204
3,201901250415,2,28,0,105
2,201901250415,12,28,0,204
2,201901250415,13,28,0,104
2,201901250420,1,28,0,315
1,201901250425,10,28,0,105
4,201901250425,4,28,0,104
2,201901250425,14,28,0,405
2,201901250430,10,28,0,204
1,201901250430,4,28,0,315
2,201901250430,14,28,0,302
1,201901250430,8,28,0,315
2,201901250435,12,28,0,104
2,201901250435,8,28,0,405
1,201901250435,2,28,0,315
2,201901250435,14,28,0,104
1,201901250445,28,28,0,104
4,201901250445,10,28,0,0
4,201901250445,1,28,0,104
3,201901250450,12,28,0,0
1,201901250450,1,28,4,0
3,201901250455,28,28,0,0
3,201901250455,4,28,0,105
2,201901250455,10,28,0,104
13,201901250455,1,28,0,0
1,201901250455,2,28,0,108
1,201901250455,12,28,4,0
1,201901250500,28,28,0,204
4,201901250500,1,28,0,204
2,201901250505,10,28,0,204
2,201901250505,4,28,0,315
1,201901250505,14,28,0,302
1,201901250505,16,28,0,405
4,201901250510,1,28,0,204
2,201901250515,14,28,0,405
4,201901250515,4,28,0,104
1,201901250515,10,28,0,105
2,201901250515,2,28,0,302
10,201901250520,2,28,0,0
2,201901250520,1,28,0,108
1,201901250525,8,28,0,105
2,201901250530,14,28,0,405
1,201901250530,10,28,0,105
4,201901250530,4,28,0,104
2,201901250530,8,28,0,104
3,201901250535,4,28,0,405
2,201901250535,13,28,0,204
2,201901250535,14,28,0,104
1,201901250535,2,28,0,315
2,201901250540,14,28,0,204
2,201901250540,16,28,0,105
1,201901250540,8,28,0,108
2,201901250540,13,28,0,104
1,201901250540,1,28,4,204
5,201901250545,8,28,0,0
4,201901250550,1,28,0,204
1,201901250550,12,28,4,204
1,201901250550,28,28,0,204
2,201901250555,14,28,0,104
4,201901250555,4,28,0,405
2,201901250555,13,28,0,204
2,201901250555,8,28,0,405
2,201901250555,12,28,0,104
4,201901250600,1,28,0,105
9,201901250600,4,28,0,0
5,201901250600,8,28,0,0
4,201901250605,4,28,0,204
4,201901250610,16,28,0,0
4,201901250615,14,28,0,0
4,201901250620,2,28,0,204
2,201901250625,8,28,0,405
2,201901250625,12,28,0,104
1,201901250625,2,28,0,315
4,201901250630,1,28,0,105
9,201901250630,4,28,0,0
4,201901250635,2,28,0,405
1,201901250635,8,28,0,315
1,201901250635,4,28,0,315
1,201901250640,1,28,4,0
3,201901250640,12,28,0,0
4,201901250645,14,28,0,0
3,201901250645,12,28,0,0
4,201901250650,2,28,0,104
1,201901250650,4,28,0,302
1,201901250650,14,28,0,315
2,201901250655,16,28,0,204
2,201901250655,14,28,0,105
2,201901250655,10,28,0,405
1,201901250700,14,28,4,405
1,201901250705,10,28,0,105
4,201901250705,4,28,0,104
1,201901250705,4,28,0,403
2,201901250705,14,28,0,405
4,201901250715,16,28,0,0
2,201901250720,8,28,0,104
1,201901250720,2,28,0,302
1,201901250720,1,28,4,405
4,201901250725,1,28,0,204
1,201901250725,12,28,4,204
1,201901250725,28,28,0,204
4,201901250730,14,28,0,0
3,201901250730,12,28,0,0
2,201901250735,16,28,0,204
2,201901250735,14,28,0,105
2,201901250735,10,28,0,405
4,201901250735,2,28,0,204
